archivo_generado;archivo_base;id_hablante_base;id_hablante_segmento;tipo_splicing;manipulado;inicio_insercion_s;fin_insercion_s;duracion_s;frecuencia_muestreo;semilla
H001_6345_clean.wav;H001_6345;6345;;none;0;;;32.985;16000;42
H001_6345_cross_speaker.wav;H001_6345;6345;2803;cross_speaker;1;22.164;23.708;34.529;16000;42
H001_6345_cross_speaker_ruido.wav;H001_6345;6345;2803;cross_speaker_ruido;1;5.224;6.768;34.529;16000;42
H001_6345_same_speaker.wav;H001_6345;6345;6345;same_speaker;1;22.761;25.022;35.246;16000;42
H002_2035_clean.wav;H002_2035;2035;;none;0;;;38.38;16000;42
H002_2035_cross_speaker.wav;H002_2035;2035;777;cross_speaker;1;12.617;15.062;40.824;16000;42
H002_2035_cross_speaker_ruido.wav;H002_2035;2035;777;cross_speaker_ruido;1;30.706;33.15;40.824;16000;42
H002_2035_same_speaker.wav;H002_2035;2035;2035;same_speaker;1;13.235;15.59;40.736;16000;42
H003_8842_clean.wav;H003_8842;8842;;none;0;;;39.515;16000;42
H003_8842_cross_speaker.wav;H003_8842;8842;84;cross_speaker;1;12.656;15.042;41.901;16000;42
H003_8842_cross_speaker_ruido.wav;H003_8842;8842;84;cross_speaker_ruido;1;25.991;28.377;41.901;16000;42
H003_8842_same_speaker.wav;H003_8842;8842;8842;same_speaker;1;32.24;34.638;41.913;16000;42
H004_3170_clean.wav;H004_3170;3170;;none;0;;;49.16;16000;42
H004_3170_cross_speaker.wav;H004_3170;3170;1462;cross_speaker;1;18.713;20.417;50.864;16000;42
H004_3170_cross_speaker_ruido.wav;H004_3170;3170;1462;cross_speaker_ruido;1;5.237;6.941;50.864;16000;42
H004_3170_same_speaker.wav;H004_3170;3170;3170;same_speaker;1;45.081;47.021;51.1;16000;42
H005_1919_clean.wav;H005_1919;1919;;none;0;;;56.405;16000;42
H005_1919_cross_speaker.wav;H005_1919;1919;251;cross_speaker;1;49.206;51.545;58.744;16000;42
H005_1919_cross_speaker_ruido.wav;H005_1919;1919;251;cross_speaker_ruido;1;35.507;37.846;58.744;16000;42
H005_1919_same_speaker.wav;H005_1919;1919;1919;same_speaker;1;8.717;10.646;58.334;16000;42
H006_8297_clean.wav;H006_8297;8297;;none;0;;;42.215;16000;42
H006_8297_cross_speaker.wav;H006_8297;8297;777;cross_speaker;1;35.457;37.127;43.885;16000;42
H006_8297_cross_speaker_ruido.wav;H006_8297;8297;777;cross_speaker_ruido;1;17.993;19.663;43.885;16000;42
H006_8297_same_speaker.wav;H006_8297;8297;8297;same_speaker;1;24.187;25.931;43.959;16000;42
H007_3000_clean.wav;H007_3000;3000;;none;0;;;38.715;16000;42
H007_3000_cross_speaker.wav;H007_3000;3000;777;cross_speaker;1;4.824;6.781;40.672;16000;42
H007_3000_cross_speaker_ruido.wav;H007_3000;3000;777;cross_speaker_ruido;1;1.082;3.038;40.672;16000;42
H007_3000_same_speaker.wav;H007_3000;3000;3000;same_speaker;1;34.691;36.606;40.63;16000;42
H008_1988_clean.wav;H008_1988;1988;;none;0;;;29.16;16000;42
H008_1988_cross_speaker.wav;H008_1988;1988;2078;cross_speaker;1;22.822;24.526;30.864;16000;42
H008_1988_cross_speaker_ruido.wav;H008_1988;1988;2078;cross_speaker_ruido;1;9.606;11.31;30.864;16000;42
H008_1988_same_speaker.wav;H008_1988;1988;1988;same_speaker;1;2.419;4.733;31.475;16000;42
H009_5536_clean.wav;H009_5536;5536;;none;0;;;35.025;16000;42
H009_5536_cross_speaker.wav;H009_5536;5536;2078;cross_speaker;1;28.272;30.355;37.108;16000;42
H009_5536_cross_speaker_ruido.wav;H009_5536;5536;2078;cross_speaker_ruido;1;14.626;16.71;37.108;16000;42
H009_5536_same_speaker.wav;H009_5536;5536;5536;same_speaker;1;18.797;21.006;37.233;16000;42
H010_6241_clean.wav;H010_6241;6241;;none;0;;;29.04;16000;42
H010_6241_cross_speaker.wav;H010_6241;6241;251;cross_speaker;1;24.378;26.498;31.161;16000;42
H010_6241_cross_speaker_ruido.wav;H010_6241;6241;251;cross_speaker_ruido;1;10.02;12.141;31.161;16000;42
H010_6241_same_speaker.wav;H010_6241;6241;6241;same_speaker;1;13.685;15.862;31.217;16000;42
H011_3752_clean.wav;H011_3752;3752;;none;0;;;47.38;16000;42
H011_3752_cross_speaker.wav;H011_3752;3752;652;cross_speaker;1;12.255;14.093;49.218;16000;42
H011_3752_cross_speaker_ruido.wav;H011_3752;3752;652;cross_speaker_ruido;1;28.973;30.811;49.218;16000;42
H011_3752_same_speaker.wav;H011_3752;3752;3752;same_speaker;1;10.041;11.756;49.094;16000;42
H012_3576_clean.wav;H012_3576;3576;;none;0;;;47.25;16000;42
H012_3576_cross_speaker.wav;H012_3576;3576;251;cross_speaker;1;21.389;23.231;49.092;16000;42
H012_3576_cross_speaker_ruido.wav;H012_3576;3576;251;cross_speaker_ruido;1;36.465;38.307;49.092;16000;42
H012_3576_same_speaker.wav;H012_3576;3576;3576;same_speaker;1;10.056;12.452;49.646;16000;42
H013_7850_clean.wav;H013_7850;7850;;none;0;;;36.96;16000;42
H013_7850_cross_speaker.wav;H013_7850;7850;3081;cross_speaker;1;16.76;18.534;38.734;16000;42
H013_7850_cross_speaker_ruido.wav;H013_7850;7850;3081;cross_speaker_ruido;1;32.476;34.25;38.734;16000;42
H013_7850_same_speaker.wav;H013_7850;7850;7850;same_speaker;1;31.732;33.989;39.217;16000;42
H014_5338_clean.wav;H014_5338;5338;;none;0;;;49.775;16000;42
H014_5338_cross_speaker.wav;H014_5338;5338;2078;cross_speaker;1;14.271;16.527;52.032;16000;42
H014_5338_cross_speaker_ruido.wav;H014_5338;5338;2078;cross_speaker_ruido;1;2.79;5.047;52.032;16000;42
H014_5338_same_speaker.wav;H014_5338;5338;5338;same_speaker;1;31.599;33.263;51.439;16000;42
H015_2277_clean.wav;H015_2277;2277;;none;0;;;27.64;16000;42
H015_2277_cross_speaker.wav;H015_2277;2277;84;cross_speaker;1;9.96;11.574;29.254;16000;42
H015_2277_cross_speaker_ruido.wav;H015_2277;2277;84;cross_speaker_ruido;1;18.775;20.389;29.254;16000;42
H015_2277_same_speaker.wav;H015_2277;2277;2277;same_speaker;1;7.954;10.283;29.969;16000;42
H016_5895_clean.wav;H016_5895;5895;;none;0;;;37.925;16000;42
H016_5895_cross_speaker.wav;H016_5895;5895;1462;cross_speaker;1;9.824;11.409;39.51;16000;42
H016_5895_cross_speaker_ruido.wav;H016_5895;5895;1462;cross_speaker_ruido;1;8.071;9.656;39.51;16000;42
H016_5895_same_speaker.wav;H016_5895;5895;5895;same_speaker;1;11.723;13.377;39.58;16000;42
H017_6319_clean.wav;H017_6319;6319;;none;0;;;36.065;16000;42
H017_6319_cross_speaker.wav;H017_6319;6319;652;cross_speaker;1;22.093;23.844;37.816;16000;42
H017_6319_cross_speaker_ruido.wav;H017_6319;6319;652;cross_speaker_ruido;1;2.284;4.035;37.816;16000;42
H017_6319_same_speaker.wav;H017_6319;6319;6319;same_speaker;1;16.181;18.631;38.515;16000;42
H018_6313_clean.wav;H018_6313;6313;;none;0;;;37.545;16000;42
H018_6313_cross_speaker.wav;H018_6313;6313;777;cross_speaker;1;18.027;19.709;39.227;16000;42
H018_6313_cross_speaker_ruido.wav;H018_6313;6313;777;cross_speaker_ruido;1;33.452;35.133;39.227;16000;42
H018_6313_same_speaker.wav;H018_6313;6313;6313;same_speaker;1;29.738;31.369;39.176;16000;42
H019_5694_clean.wav;H019_5694;5694;;none;0;;;36.985;16000;42
H019_5694_cross_speaker.wav;H019_5694;5694;2803;cross_speaker;1;35.953;38.221;39.252;16000;42
H019_5694_cross_speaker_ruido.wav;H019_5694;5694;2803;cross_speaker_ruido;1;1.66;3.927;39.252;16000;42
H019_5694_same_speaker.wav;H019_5694;5694;5694;same_speaker;1;34.82;36.33;38.495;16000;42
H020_1993_clean.wav;H020_1993;1993;;none;0;;;36.31;16000;42
H020_1993_cross_speaker.wav;H020_1993;1993;1462;cross_speaker;1;5.761;7.987;38.536;16000;42
H020_1993_cross_speaker_ruido.wav;H020_1993;1993;1462;cross_speaker_ruido;1;21.338;23.564;38.536;16000;42
H020_1993_same_speaker.wav;H020_1993;1993;1993;same_speaker;1;19.642;22.096;38.764;16000;42
H021_6295_clean.wav;H021_6295;6295;;none;0;;;32.655;16000;42
H021_6295_cross_speaker.wav;H021_6295;6295;777;cross_speaker;1;16.18;18.288;34.763;16000;42
H021_6295_cross_speaker_ruido.wav;H021_6295;6295;777;cross_speaker_ruido;1;26.536;28.644;34.763;16000;42
H021_6295_same_speaker.wav;H021_6295;6295;6295;same_speaker;1;3.041;5.259;34.873;16000;42
H022_2412_clean.wav;H022_2412;2412;;none;0;;;30.605;16000;42
H022_2412_cross_speaker.wav;H022_2412;2412;652;cross_speaker;1;3.842;5.581;32.344;16000;42
H022_2412_cross_speaker_ruido.wav;H022_2412;2412;652;cross_speaker_ruido;1;24.886;26.624;32.344;16000;42
H022_2412_same_speaker.wav;H022_2412;2412;2412;same_speaker;1;24.939;26.766;32.431;16000;42
H023_422_clean.wav;H023_422;422;;none;0;;;32.675;16000;42
H023_422_cross_speaker.wav;H023_422;422;251;cross_speaker;1;23.82;25.71;34.565;16000;42
H023_422_cross_speaker_ruido.wav;H023_422;422;251;cross_speaker_ruido;1;5.796;7.687;34.565;16000;42
H023_422_same_speaker.wav;H023_422;422;422;same_speaker;1;7.563;9.21;34.322;16000;42
H024_2086_clean.wav;H024_2086;2086;;none;0;;;33.525;16000;42
H024_2086_cross_speaker.wav;H024_2086;2086;2078;cross_speaker;1;22.869;25.129;35.785;16000;42
H024_2086_cross_speaker_ruido.wav;H024_2086;2086;2078;cross_speaker_ruido;1;2.78;5.04;35.785;16000;42
H024_2086_same_speaker.wav;H024_2086;2086;2086;same_speaker;1;2.589;4.281;35.218;16000;42
H025_7976_clean.wav;H025_7976;7976;;none;0;;;45.155;16000;42
H025_7976_cross_speaker.wav;H025_7976;7976;1673;cross_speaker;1;38.234;39.837;46.758;16000;42
H025_7976_cross_speaker_ruido.wav;H025_7976;7976;1673;cross_speaker_ruido;1;43.351;44.954;46.758;16000;42
H025_7976_same_speaker.wav;H025_7976;7976;7976;same_speaker;1;4.527;6.991;47.619;16000;42
H026_3853_clean.wav;H026_3853;3853;;none;0;;;32.655;16000;42
H026_3853_cross_speaker.wav;H026_3853;3853;84;cross_speaker;1;16.053;18.217;34.819;16000;42
H026_3853_cross_speaker_ruido.wav;H026_3853;3853;84;cross_speaker_ruido;1;9.097;11.262;34.819;16000;42
H026_3853_same_speaker.wav;H026_3853;3853;3853;same_speaker;1;1.447;2.992;34.2;16000;42
H027_3536_clean.wav;H027_3536;3536;;none;0;;;35.795;16000;42
H027_3536_cross_speaker.wav;H027_3536;3536;777;cross_speaker;1;6.602;8.833;38.026;16000;42
H027_3536_cross_speaker_ruido.wav;H027_3536;3536;777;cross_speaker_ruido;1;31.065;33.297;38.026;16000;42
H027_3536_same_speaker.wav;H027_3536;3536;3536;same_speaker;1;4.341;5.874;37.329;16000;42
H028_174_clean.wav;H028_174;174;;none;0;;;38.22;16000;42
H028_174_cross_speaker.wav;H028_174;174;652;cross_speaker;1;16.276;17.969;39.913;16000;42
H028_174_cross_speaker_ruido.wav;H028_174;174;652;cross_speaker_ruido;1;1.08;2.773;39.913;16000;42
H028_174_same_speaker.wav;H028_174;174;174;same_speaker;1;9.55;11.943;40.614;16000;42
H029_1272_clean.wav;H029_1272;1272;;none;0;;;33.055;16000;42
H029_1272_cross_speaker.wav;H029_1272;1272;777;cross_speaker;1;1.884;3.634;34.804;16000;42
H029_1272_cross_speaker_ruido.wav;H029_1272;1272;777;cross_speaker_ruido;1;14.694;16.443;34.804;16000;42
H029_1272_same_speaker.wav;H029_1272;1272;1272;same_speaker;1;24.817;26.799;35.036;16000;42
H030_2902_clean.wav;H030_2902;2902;;none;0;;;39.745;16000;42
H030_2902_cross_speaker.wav;H030_2902;2902;1462;cross_speaker;1;33.853;36.292;42.185;16000;42
H030_2902_cross_speaker_ruido.wav;H030_2902;2902;1462;cross_speaker_ruido;1;27.177;29.617;42.185;16000;42
H030_2902_same_speaker.wav;H030_2902;2902;2902;same_speaker;1;10.706;12.579;41.618;16000;42
