indice_ventana;inicio_ventana_s;fin_ventana_s;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;rms_mean;rms_std;zcr_mean;zcr_std;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;delta_prev_mfcc_1_mean;delta_next_mfcc_1_mean;delta_prev_mfcc_1_std;delta_next_mfcc_1_std;delta_prev_mfcc_2_mean;delta_next_mfcc_2_mean;delta_prev_mfcc_2_std;delta_next_mfcc_2_std;delta_prev_mfcc_3_mean;delta_next_mfcc_3_mean;delta_prev_mfcc_3_std;delta_next_mfcc_3_std;delta_prev_mfcc_4_mean;delta_next_mfcc_4_mean;delta_prev_mfcc_4_std;delta_next_mfcc_4_std;delta_prev_mfcc_5_mean;delta_next_mfcc_5_mean;delta_prev_mfcc_5_std;delta_next_mfcc_5_std;delta_prev_mfcc_6_mean;delta_next_mfcc_6_mean;delta_prev_mfcc_6_std;delta_next_mfcc_6_std;delta_prev_mfcc_7_mean;delta_next_mfcc_7_mean;delta_prev_mfcc_7_std;delta_next_mfcc_7_std;delta_prev_mfcc_8_mean;delta_next_mfcc_8_mean;delta_prev_mfcc_8_std;delta_next_mfcc_8_std;delta_prev_mfcc_9_mean;delta_next_mfcc_9_mean;delta_prev_mfcc_9_std;delta_next_mfcc_9_std;delta_prev_mfcc_10_mean;delta_next_mfcc_10_mean;delta_prev_mfcc_10_std;delta_next_mfcc_10_std;delta_prev_mfcc_11_mean;delta_next_mfcc_11_mean;delta_prev_mfcc_11_std;delta_next_mfcc_11_std;delta_prev_mfcc_12_mean;delta_next_mfcc_12_mean;delta_prev_mfcc_12_std;delta_next_mfcc_12_std;delta_prev_mfcc_13_mean;delta_next_mfcc_13_mean;delta_prev_mfcc_13_std;delta_next_mfcc_13_std;delta_prev_rms_mean;delta_next_rms_mean;delta_prev_rms_std;delta_next_rms_std;delta_prev_zcr_mean;delta_next_zcr_mean;delta_prev_zcr_std;delta_next_zcr_std;delta_prev_spectral_centroid_mean;delta_next_spectral_centroid_mean;delta_prev_spectral_centroid_std;delta_next_spectral_centroid_std;delta_prev_spectral_bandwidth_mean;delta_next_spectral_bandwidth_mean;delta_prev_spectral_bandwidth_std;delta_next_spectral_bandwidth_std;delta_prev_spectral_rolloff_mean;delta_next_spectral_rolloff_mean;delta_prev_spectral_rolloff_std;delta_next_spectral_rolloff_std;archivo_generado;archivo_base;id_hablante_base;tipo_splicing;manipulado;centro_ventana_s;etiqueta_borde
0;0.0;1.0;-255.73097229003906;105.50611114501953;53.15683364868164;49.558349609375;5.758880615234375;36.716251373291016;35.65001678466797;17.882070541381836;-9.073285102844238;17.945680618286133;-11.365828514099121;21.740591049194336;-21.254301071166992;11.296744346618652;-14.361215591430664;16.374059677124023;1.1198912858963013;12.634384155273438;-8.746404647827148;8.144853591918945;7.074382781982422;7.290535926818848;8.440881729125977;11.733404159545898;-1.4557960033416748;8.10688591003418;0.07779058814048767;0.07941935956478119;0.184844970703125;0.13040040433196962;2265.536539813008;1034.3004550948974;1810.261075496628;362.3313754371106;4133.056640625;1521.5250972053102;0.0;74.029052734375;0.0;57.39564514160156;0.0;6.210399627685547;0.0;1.0070533752441406;0.0;5.294322967529297;0.0;2.8154373168945312;0.0;1.8469161987304688;0.0;4.218318939208984;0.0;9.436688423156738;0.0;3.8171520233154297;0.0;18.43898868560791;0.0;5.590614318847656;0.0;3.8966445922851562;0.0;3.14725399017334;0.0;6.489419937133789;0.0;2.9302892684936523;0.0;7.001134991645813;0.0;1.3239984512329102;0.0;1.8211603164672852;0.0;0.9714736938476562;0.0;2.3499526977539062;0.0;1.9462871551513672;0.0;4.443680763244629;0.0;3.7995872497558594;0.0;1.2428760528564453;0.0;0.9382638931274414;0.0;0.022674664855003357;0.0;0.02144935354590416;0.0;0.0066375732421875;0.0;0.003720677616052631;0.0;37.99208724746859;0.0;108.34651828486449;0.0;19.862207335861058;0.0;61.84531473931514;0.0;99.853515625;0.0;125.98880652609114;H001_6345_clean.wav;H001_6345;6345;none;0;0.5;0
1;0.5;1.5;-181.70191955566406;48.11046600341797;59.36723327636719;50.56540298461914;11.053203582763672;39.53168869018555;37.49693298339844;22.10038948059082;-18.509973526000977;14.128528594970703;-29.80481719970703;16.14997673034668;-25.15094566345215;14.443998336791992;-20.850635528564453;13.443770408630371;-5.881243705749512;13.958382606506348;-10.567564964294434;9.116327285766602;4.724430084228516;9.236823081970215;3.9972009658813477;7.933816909790039;-2.69867205619812;9.045149803161621;0.10046525299549103;0.05797000601887703;0.1782073974609375;0.12667972671591698;2227.5444525655394;1142.646973379762;1790.398868160767;424.1766901764257;4033.203125;1647.5139037314013;74.029052734375;69.22352600097656;57.39564514160156;15.296451568603516;6.210399627685547;24.197616577148438;1.0070533752441406;27.242578506469727;5.294322967529297;10.561140060424805;2.8154373168945312;8.486495971679688;1.8469161987304688;7.679676055908203;4.218318939208984;1.0034961700439453;9.436688423156738;6.245121002197266;3.8171520233154297;3.0819568634033203;18.43898868560791;8.798131942749023;5.590614318847656;1.618906021118164;3.8966445922851562;8.91058349609375;3.14725399017334;2.3346900939941406;6.489419937133789;9.626371383666992;2.9302892684936523;7.545187950134277;7.001134991645813;4.872753858566284;1.3239984512329102;1.8316841125488281;1.8211603164672852;5.415761470794678;0.9714736938476562;1.1505866050720215;2.3499526977539062;7.318854808807373;1.9462871551513672;1.8476438522338867;4.443680763244629;6.136345863342285;3.7995872497558594;0.7063884735107422;1.2428760528564453;1.1433424949645996;0.9382638931274414;0.9870100021362305;0.022674664855003357;0.04134293273091316;0.02144935354590416;0.038752561435103416;0.0066375732421875;0.0796051025390625;0.003720677616052631;0.07754632168218151;37.99208724746859;547.7634343869972;108.34651828486449;465.46577190049675;19.862207335861058;84.03089067834344;61.84531473931514;146.79464095074633;99.853515625;604.736328125;125.98880652609114;626.2440787507026;H001_6345_clean.wav;H001_6345;6345;none;0;1.0;0
2;1.0;2.0;-250.92544555664062;63.406917572021484;83.56484985351562;23.322824478149414;21.614343643188477;31.04519271850586;45.17660903930664;21.096893310546875;-24.755094528198242;17.210485458374023;-21.006685256958008;17.768882751464844;-16.2403621673584;16.778688430786133;-30.477006912231445;20.98895835876465;-1.0084898471832275;15.790066719055176;-5.151803493499756;7.96574068069458;-2.5944247245788574;7.389179229736328;10.133546829223633;8.640205383300781;-3.8420145511627197;8.05813980102539;0.059122320264577866;0.019217444583773613;0.098602294921875;0.04913340503373548;1679.7810181785421;677.1812014792652;1706.3679774824236;277.3820492256794;3428.466796875;1021.2698249806988;69.22352600097656;7.3681640625;15.296451568603516;8.827571868896484;24.197616577148438;6.448051452636719;27.242578506469727;7.274421691894531;10.561140060424805;18.8474178314209;8.486495971679688;5.969398498535156;7.679676055908203;1.2803688049316406;1.0034961700439453;0.048252105712890625;6.245121002197266;0.7162265777587891;3.0819568634033203;0.10089683532714844;8.798131942749023;7.302639007568359;1.618906021118164;1.0329551696777344;8.91058349609375;7.441653251647949;2.3346900939941406;7.28787899017334;9.626371383666992;0.5878944396972656;7.545187950134277;3.1637840270996094;4.872753858566284;7.869858026504517;1.8316841125488281;5.176792144775391;5.415761470794678;3.214329242706299;1.1505866050720215;1.536644458770752;7.318854808807373;6.151016473770142;1.8476438522338867;4.084776878356934;6.136345863342285;1.4628238677978516;0.7063884735107422;0.8408699035644531;1.1433424949645996;1.5074350833892822;0.9870100021362305;2.6662683486938477;0.04134293273091316;0.001971077173948288;0.038752561435103416;0.015704816207289696;0.0796051025390625;0.0005340576171875;0.07754632168218151;0.0054256728557903755;547.7634343869972;56.32563875508049;465.46577190049675;189.75487767530115;84.03089067834344;108.48808098540871;146.79464095074633;56.975627238643284;604.736328125;210.44921875;626.2440787507026;274.9885592395019;H001_6345_clean.wav;H001_6345;6345;none;0;1.5;0
3;1.5;2.5;-258.2936096191406;72.23448944091797;90.01290130615234;30.597246170043945;2.766925811767578;37.014591217041016;43.896240234375;21.145145416259766;-25.47132110595703;17.109588623046875;-13.704046249389648;16.73592758178711;-8.79870891571045;9.490809440612793;-29.88911247253418;24.152742385864258;6.861368179321289;10.613274574279785;-8.366132736206055;9.502385139465332;3.556591749191284;11.473956108093262;11.596370697021484;7.799335479736328;-5.349449634552002;5.391871452331543;0.05715124309062958;0.03492226079106331;0.0991363525390625;0.05455907788952585;1623.4553794234616;487.426323803964;1597.879896497015;220.4064219870361;3218.017578125;746.2812657411969;7.3681640625;34.519805908203125;8.827571868896484;0.709075927734375;6.448051452636719;17.852066040039062;7.274421691894531;27.3378963470459;18.8474178314209;14.48997974395752;5.969398498535156;5.548770904541016;1.2803688049316406;5.7927703857421875;0.048252105712890625;4.955730438232422;0.7162265777587891;8.494319915771484;0.10089683532714844;1.1748638153076172;7.302639007568359;5.748208999633789;1.0329551696777344;0.8209590911865234;7.441653251647949;12.138920783996582;7.28787899017334;8.03934383392334;0.5878944396972656;14.335789680480957;3.1637840270996094;6.612522125244141;7.869858026504517;5.708627343177795;5.176792144775391;1.2957563400268555;3.214329242706299;2.4029064178466797;1.536644458770752;1.2159709930419922;6.151016473770142;7.9402382373809814;4.084776878356934;3.498836040496826;1.4628238677978516;4.443265438079834;0.8408699035644531;1.9783744812011719;1.5074350833892822;3.3706607818603516;2.6662683486938477;0.5246796607971191;0.001971077173948288;0.007469408214092255;0.015704816207289696;0.0009732767939567566;0.0005340576171875;0.049163818359375;0.0054256728557903755;0.022583780715803373;56.32563875508049;426.08685867115946;189.75487767530115;500.2636650501472;108.48808098540871;34.77375006056741;56.975627238643284;91.00556205032265;210.44921875;312.5;274.9885592395019;648.6990204408398;H001_6345_clean.wav;H001_6345;6345;none;0;2.0;0
4;2.0;3.0;-223.7738037109375;72.94356536865234;72.16083526611328;57.935142517089844;-11.723053932189941;31.4658203125;38.10346984863281;16.189414978027344;-16.977001190185547;18.284452438354492;-19.452255249023438;17.556886672973633;-20.93762969970703;17.530153274536133;-15.553322792053223;17.540220260620117;1.1527408361434937;11.90903091430664;-10.769039154052734;10.718356132507324;11.496829986572266;7.9751200675964355;7.15310525894165;9.7777099609375;-1.9787888526916504;5.916551113128662;0.06462065130472183;0.035895537585020065;0.1483001708984375;0.07714285860532923;2049.542238094621;987.6899888541112;1563.1061464364475;311.41198403735876;3530.517578125;1394.9802861820367;34.519805908203125;21.306304931640625;0.709075927734375;9.395801544189453;17.852066040039062;17.408546447753906;27.3378963470459;6.921684265136719;14.48997974395752;1.197352409362793;5.548770904541016;4.520439147949219;5.7927703857421875;9.169506072998047;4.955730438232422;9.230476379394531;8.494319915771484;13.614910364151001;1.1748638153076172;7.411611557006836;5.748208999633789;3.6560707092285156;0.8209590911865234;3.7325363159179688;12.138920783996582;10.15078353881836;8.03934383392334;1.767643928527832;14.335789680480957;4.416131019592285;6.612522125244141;0.8039054870605469;5.708627343177795;2.087740659713745;1.2957563400268555;1.368490219116211;2.4029064178466797;4.966102123260498;1.2159709930419922;1.3604326248168945;7.9402382373809814;4.181404113769531;3.498836040496826;1.9827184677124023;4.443265438079834;3.323775053024292;1.9783744812011719;0.11157989501953125;3.3706607818603516;1.3173381090164185;0.5246796607971191;0.6952800750732422;0.007469408214092255;0.006512820720672607;0.0009732767939567566;0.010156990960240364;0.049163818359375;0.02392578125;0.022583780715803373;0.001566677418739712;426.08685867115946;251.34942050695668;500.2636650501472;20.51313618852066;34.77375006056741;113.02858089586448;91.00556205032265;81.59052339885295;312.5;363.76953125;648.6990204408398;66.25434239979813;H001_6345_clean.wav;H001_6345;6345;none;0;2.5;0
5;2.5;3.5;-245.08010864257812;63.54776382446289;89.56938171386719;64.85682678222656;-10.525701522827148;35.98625946044922;28.933963775634766;25.419891357421875;-3.362090826034546;25.696063995361328;-23.108325958251953;13.824350357055664;-31.08841323852539;15.7625093460083;-11.137191772460938;18.344125747680664;-0.9349998235702515;13.277521133422852;-5.802937030792236;9.35792350769043;7.315425872802734;5.992401599884033;3.8293302059173584;9.666130065917969;-0.6614507436752319;5.22127103805542;0.058107830584049225;0.0257385466247797;0.1243743896484375;0.07870953602406894;1798.1928175876644;1008.2031250426319;1450.077565540583;393.0025074362117;3166.748046875;1461.2346285818348;21.306304931640625;18.611343383789062;9.395801544189453;12.630367279052734;17.408546447753906;33.5614013671875;6.921684265136719;39.711469650268555;1.197352409362793;28.29981803894043;4.520439147949219;6.856729507446289;9.169506072998047;15.137491226196289;9.230476379394531;3.436006546020508;13.614910364151001;2.177830934524536;7.411611557006836;3.271768569946289;3.6560707092285156;1.2853775024414062;3.7325363159179688;0.050200462341308594;10.15078353881836;7.593118667602539;1.767643928527832;2.372096061706543;4.416131019592285;6.143062591552734;0.8039054870605469;4.101673126220703;2.087740659713745;10.113630652427673;1.368490219116211;2.753636360168457;4.966102123260498;0.3182530403137207;1.3604326248168945;1.4069442749023438;4.181404113769531;0.5467591285705566;1.9827184677124023;1.1496796607971191;3.323775053024292;3.3363510072231293;0.11157989501953125;2.4854836463928223;1.3173381090164185;3.374734044075012;0.6952800750732422;1.3364496231079102;0.006512820720672607;0.023940525949001312;0.010156990960240364;0.014315085485577583;0.02392578125;0.0411224365234375;0.001566677418739712;0.0617518649363614;251.34942050695668;502.640377478622;20.51313618852066;764.6782551523654;113.02858089586448;189.12255367487228;81.59052339885295;136.27260198175998;363.76953125;876.953125;66.25434239979813;904.2331029823881;H001_6345_clean.wav;H001_6345;6345;none;0;3.0;0
6;3.0;4.0;-226.46876525878906;76.17813110351562;123.13078308105469;25.145357131958008;-38.82551956176758;29.12952995300293;13.796472549438477;21.983884811401367;-1.1842598915100098;22.42429542541504;-24.39370346069336;13.774149894714355;-23.49529457092285;18.134605407714844;-17.280254364013672;22.445798873901367;9.178630828857422;10.523884773254395;-6.121190071105957;10.764867782592773;7.862185001373291;4.842721939086914;0.4929791986942291;7.1806464195251465;2.7132833003997803;6.55772066116333;0.08204835653305054;0.040053632110357285;0.083251953125;0.016957671087707536;1295.5524401090424;243.52486989026644;1260.9550118657107;256.72990545445174;2289.794921875;557.0015255994467;18.611343383789062;29.171737670898438;12.630367279052734;10.978973388671875;33.5614013671875;5.6369781494140625;39.711469650268555;6.540910720825195;28.29981803894043;14.362625122070312;6.856729507446289;2.5984230041503906;15.137491226196289;14.891391515731812;3.436006546020508;2.9290122985839844;2.177830934524536;12.614285945892334;3.271768569946289;5.7376556396484375;1.2853775024414062;10.146406173706055;0.050200462341308594;4.646483421325684;7.593118667602539;0.5240554809570312;2.372096061706543;4.720973014831543;6.143062591552734;15.311710357666016;4.101673126220703;6.697895050048828;10.113630652427673;3.5205492973327637;2.753636360168457;2.9049339294433594;0.3182530403137207;0.6243877410888672;1.4069442749023438;2.891298770904541;0.5467591285705566;0.6513247489929199;1.1496796607971191;3.310098648071289;3.3363510072231293;0.9662836492061615;2.4854836463928223;2.8602614402770996;3.374734044075012;1.3017997741699219;1.3364496231079102;4.3536057472229;0.023940525949001312;0.0297170951962471;0.014315085485577583;0.004409395158290863;0.0411224365234375;0.003326416015625;0.0617518649363614;0.004677526962672426;502.640377478622;34.97118880889093;764.6782551523654;22.144542613379883;189.12255367487228;96.92230967029695;136.27260198175998;5.6564799209700425;876.953125;70.80078125;904.2331029823881;212.16400747860143;H001_6345_clean.wav;H001_6345;6345;none;0;3.5;0
7;3.5;4.5;-197.29702758789062;65.19915771484375;117.49380493164062;18.604446411132812;-24.462894439697266;31.72795295715332;-1.094918966293335;19.054872512817383;-13.798545837402344;16.6866397857666;-14.247297286987305;18.42063331604004;-22.97123908996582;13.4136323928833;-32.59196472167969;15.747903823852539;5.658081531524658;13.428818702697754;-5.49680233001709;7.873569011688232;7.210860252380371;8.152820587158203;1.4592628479003906;10.040907859802246;1.4114835262298584;10.91132640838623;0.11176545172929764;0.03564423695206642;0.079925537109375;0.021635198050379962;1260.5812513001515;221.38032727688656;1357.8773215360077;251.0734255334817;2218.994140625;769.1655330780482;29.171737670898438;11.155075073242188;10.978973388671875;30.490169525146484;5.6369781494140625;18.656112670898438;6.540910720825195;26.353355407714844;14.362625122070312;10.749679565429688;2.5984230041503906;3.6750526428222656;14.891391515731812;15.755737066268921;2.9290122985839844;11.99191665649414;12.614285945892334;1.2120389938354492;5.7376556396484375;2.714963912963867;10.146406173706055;1.7341690063476562;4.646483421325684;2.5365734100341797;0.5240554809570312;1.2753429412841797;4.720973014831543;3.535696029663086;15.311710357666016;8.599899291992188;6.697895050048828;3.1307220458984375;3.5205492973327637;3.8001441955566406;2.9049339294433594;0.5197210311889648;0.6243877410888672;0.24118566513061523;2.891298770904541;0.8402047157287598;0.6513247489929199;0.38783836364746094;3.310098648071289;0.09566593170166016;0.9662836492061615;6.616940498352051;2.8602614402770996;1.058274269104004;1.3017997741699219;3.386068105697632;4.3536057472229;0.9069137573242188;0.0297170951962471;0.02334897220134735;0.004409395158290863;0.00942998006939888;0.003326416015625;0.0355682373046875;0.004677526962672426;0.047889067742711774;34.97118880889093;357.2982524819199;22.144542613379883;542.9212331343585;96.92230967029695;118.15772301908032;5.6564799209700425;82.54831249029226;70.80078125;625.732421875;212.16400747860143;615.3517968963772;H001_6345_clean.wav;H001_6345;6345;none;0;4.0;0
8;4.0;5.0;-208.4521026611328;34.708988189697266;98.83769226074219;44.957801818847656;-13.713214874267578;28.052900314331055;14.660818099975586;31.046789169311523;-15.010584831237793;13.971675872802734;-15.981466293334961;20.95720672607422;-21.69589614868164;9.877936363220215;-23.9920654296875;18.878625869750977;1.8579373359680176;12.909097671508789;-5.737987995147705;7.033364295959473;7.598698616027832;8.248486518859863;8.076203346252441;11.09918212890625;-1.9745845794677734;11.81824016571045;0.08841647952795029;0.0450742170214653;0.1154937744140625;0.06952426579309173;1617.8795037820714;764.3015604112451;1476.035044555088;333.62173802377396;2844.7265625;1384.5173299744254;11.155075073242188;2.4924163818359375;30.490169525146484;1.8274650573730469;18.656112670898438;19.986557006835938;26.353355407714844;0.09939193725585938;10.749679565429688;7.117204666137695;3.6750526428222656;5.624040603637695;15.755737066268921;16.90345573425293;11.99191665649414;11.194826126098633;1.2120389938354492;8.364566802978516;2.714963912963867;2.7908735275268555;1.7341690063476562;9.832223892211914;2.5365734100341797;3.7627029418945312;1.2753429412841797;1.5422248840332031;3.535696029663086;3.6449670791625977;8.599899291992188;11.677038192749023;3.1307220458984375;10.483297348022461;3.8001441955566406;0.7954006195068359;0.5197210311889648;4.650066375732422;0.24118566513061523;1.8214664459228516;0.8402047157287598;0.11954307556152344;0.38783836364746094;0.3474922180175781;0.09566593170166016;1.376852035522461;6.616940498352051;5.400042533874512;1.058274269104004;3.2693276405334473;3.386068105697632;2.327855944633484;0.9069137573242188;4.644109725952148;0.02334897220134735;0.029354073107242584;0.00942998006939888;0.012602001428604126;0.0355682373046875;0.0426788330078125;0.047889067742711774;0.007789806477994002;357.2982524819199;405.7038499127666;542.9212331343585;73.58153176570113;118.15772301908032;158.59379616015894;82.54831249029226;95.42003112980427;625.732421875;797.8515625;615.3517968963772;64.8238142001494;H001_6345_clean.wav;H001_6345;6345;none;0;4.5;0
9;4.5;5.5;-205.95968627929688;36.53645324707031;78.85113525390625;45.057193756103516;-20.830419540405273;33.67694091796875;31.564273834228516;19.85196304321289;-6.646018028259277;11.180802345275879;-25.813690185546875;17.194503784179688;-20.153671264648438;13.522903442382812;-12.315027236938477;8.395328521728516;2.6533379554748535;8.259031295776367;-3.9165215492248535;7.152907371520996;7.94619083404541;6.871634483337402;13.476245880126953;7.829854488372803;0.35327136516571045;7.174130439758301;0.0590624064207077;0.032472215592861176;0.158172607421875;0.07731407227108573;2023.583353694838;837.8830921769462;1634.628840715247;429.04176915357823;3642.578125;1449.3411441745748;2.4924163818359375;31.19940185546875;1.8274650573730469;25.099170684814453;19.986557006835938;17.02710723876953;0.09939193725585938;7.704967498779297;7.117204666137695;2.172060012817383;5.624040603637695;1.2783584594726562;16.90345573425293;3.874238967895508;11.194826126098633;5.263174057006836;8.364566802978516;0.018796920776367188;2.7908735275268555;2.310331344604492;9.832223892211914;5.11328125;3.7627029418945312;4.434903144836426;1.5422248840332031;0.9282741546630859;3.6449670791625977;1.1394319534301758;11.677038192749023;6.634477615356445;10.483297348022461;4.642321586608887;0.7954006195068359;2.935674786567688;4.650066375732422;1.7241191864013672;1.8214664459228516;0.31217432022094727;0.11954307556152344;1.4651226997375488;0.3474922180175781;2.8176722526550293;1.376852035522461;0.3852076530456543;5.400042533874512;0.14814281463623047;3.2693276405334473;0.5558409690856934;2.327855944633484;2.0511003732681274;4.644109725952148;0.20982837677001953;0.029354073107242584;0.009559787809848785;0.012602001428604126;0.002677343785762787;0.0426788330078125;0.039459228515625;0.007789806477994002;0.008251208451765218;405.7038499127666;327.68423619369923;73.58153176570113;130.9043985392043;158.59379616015894;59.97401318752736;95.42003112980427;9.82290647335293;797.8515625;433.837890625;64.8238142001494;32.35840011925961;H001_6345_clean.wav;H001_6345;6345;none;0;5.0;0
