umbral;accuracy;precision;recall;f1;tn;fp;fn;tp;localizacion
0.3;0.75;0.75;1.0;0.8571;0;30;0;90;78/90
0.35;0.75;0.7542;0.9889;0.8558;1;29;1;89;65/90
0.4;0.75;0.7778;0.9333;0.8485;6;24;6;84;57/90
0.45;0.7;0.8;0.8;0.8;12;18;18;72;44/90
0.5;0.625;0.8689;0.5889;0.702;22;8;37;53;38/90
0.55;0.5417;0.907;0.4333;0.5865;26;4;51;39;32/90
0.6;0.525;0.9024;0.4111;0.5649;26;4;53;37;31/90
0.65;0.5167;0.9444;0.3778;0.5397;28;2;56;34;31/90
0.7;0.4917;0.9677;0.3333;0.4959;29;1;60;30;29/90
0.75;0.4833;1.0;0.3111;0.4746;30;0;62;28;28/90
