caracteristica;importancia;desv;familia;tipo
spectral_bandwidth_mean;0.004568527918781662;0.0019458544839255601;Ancho de banda;ventana actual
delta_prev_mfcc_9_mean;0.0026226734348561266;0.00045559769941918513;MFCC;delta (anterior)
mfcc_6_mean;0.0025380710659897885;0.000707834201805505;MFCC;ventana actual
mfcc_1_mean;0.002453468697123473;0.0005922165820643105;MFCC;ventana actual
delta_prev_spectral_rolloff_std;0.002453468697123462;0.0007277770953504933;Rolloff;delta (anterior)
delta_prev_mfcc_1_std;0.002453468697123462;0.0005611886278097336;MFCC;delta (anterior)
delta_next_mfcc_12_std;0.002284263959390809;0.000573801183005547;MFCC;delta (posterior)
delta_prev_mfcc_1_mean;0.002284263959390809;0.0009306260575296104;MFCC;delta (anterior)
delta_prev_mfcc_10_std;0.002241962774957651;0.0008256861800314435;MFCC;delta (anterior)
delta_next_mfcc_1_std;0.0021150592216581444;0.000682086103916961;MFCC;delta (posterior)
mfcc_11_mean;0.0020727580372249975;0.0008343097683298043;MFCC;ventana actual
delta_prev_spectral_centroid_std;0.0020304568527918176;0.0004933123430495238;Centroide espectral;delta (anterior)
delta_prev_mfcc_5_std;0.001945854483925491;0.0005738011830055371;MFCC;delta (anterior)
mfcc_13_mean;0.001903553299492322;0.00043345815422840935;MFCC;ventana actual
delta_next_mfcc_1_mean;0.0018612521150591643;0.0007845700926815395;MFCC;delta (posterior)
delta_next_mfcc_10_mean;0.0018189509306259955;0.0005367418587330513;MFCC;delta (posterior)
mfcc_2_std;0.0017766497461928488;0.0006498431258772198;MFCC;ventana actual
delta_prev_zcr_mean;0.0017766497461928377;0.0005611886278097135;ZCR;delta (anterior)
delta_prev_zcr_std;0.001649746192893342;0.0006115411292216892;ZCR;delta (anterior)
mfcc_7_mean;0.001649746192893342;0.0011882040528924036;MFCC;ventana actual
delta_prev_mfcc_3_std;0.0014805414551606999;0.0005433685523969724;MFCC;delta (anterior)
delta_prev_mfcc_8_std;0.0014805414551606999;0.0005433685523969724;MFCC;delta (anterior)
delta_prev_mfcc_11_mean;0.0014805414551606999;0.0007141261851156485;MFCC;delta (anterior)
mfcc_12_std;0.0014805414551606888;0.0004334581542284148;MFCC;ventana actual
rms_std;0.001438240270727531;0.0008070551619432483;RMS (energía);ventana actual
delta_next_mfcc_2_std;0.00143824027072752;0.0005738011830055209;MFCC;delta (posterior)
mfcc_1_std;0.00143824027072752;0.0005076142131979619;MFCC;ventana actual
mfcc_9_std;0.00143824027072752;0.0004313891297455656;MFCC;ventana actual
delta_prev_spectral_centroid_mean;0.00143824027072752;0.0005076142131979618;Centroide espectral;delta (anterior)
delta_prev_mfcc_9_std;0.0013959390862943622;0.0006566909769991265;MFCC;delta (anterior)
delta_prev_mfcc_2_std;0.0013536379018612044;0.0004933123430494932;MFCC;delta (anterior)
spectral_centroid_std;0.0013113367174280466;0.00089634602793643;Centroide espectral;ventana actual
delta_next_mfcc_3_mean;0.0013113367174280356;0.0006675014313899779;MFCC;delta (posterior)
mfcc_3_mean;0.0013113367174280356;0.000667501431389992;MFCC;ventana actual
mfcc_10_mean;0.0012690355329948778;0.00042301184433164436;MFCC;ventana actual
delta_prev_mfcc_6_mean;0.0012690355329948665;0.00026753618106330966;MFCC;delta (anterior)
delta_prev_mfcc_3_mean;0.0012267343485617087;0.0004804490986294533;MFCC;delta (anterior)
delta_prev_mfcc_13_std;0.0011844331641285622;0.0004555976994191625;MFCC;delta (anterior)
delta_prev_mfcc_2_mean;0.0010998307952622354;0.0003384094754653011;MFCC;delta (anterior)
delta_next_mfcc_9_mean;0.0010998307952622133;0.0007845700926815217;MFCC;delta (posterior)
delta_next_rms_std;0.0010152284263959088;0.0003876967593025221;RMS (energía);delta (posterior)
mfcc_12_mean;0.0010152284263958977;0.0006873128937932073;MFCC;ventana actual
delta_next_mfcc_12_mean;0.0010152284263958867;0.0008502432843587854;MFCC;delta (posterior)
delta_prev_rms_mean;0.0010152284263958756;0.0005738011830054995;RMS (energía);delta (anterior)
delta_next_zcr_std;0.0009729272419627289;0.0006566909769991301;ZCR;delta (posterior)
delta_next_mfcc_6_mean;0.0009729272419627177;0.0007811415106860878;MFCC;delta (posterior)
delta_next_zcr_mean;0.0009729272419627177;0.00082568618003144;ZCR;delta (posterior)
delta_next_mfcc_5_std;0.0009306260575295599;0.00056118862780969;MFCC;delta (posterior)
delta_prev_mfcc_6_std;0.0008883248730964133;0.000441637331172177;MFCC;delta (anterior)
delta_prev_mfcc_7_std;0.0008883248730963911;0.0007435869640967255;MFCC;delta (anterior)
delta_prev_mfcc_11_std;0.0008460236886632444;0.0004633862584645988;MFCC;delta (anterior)
mfcc_7_std;0.0008460236886632333;0.0006820861039169609;MFCC;ventana actual
mfcc_11_std;0.0008037225042300644;0.0008125792179483397;MFCC;ventana actual
delta_next_mfcc_6_std;0.0007614213197969178;0.0005922165820642914;MFCC;delta (posterior)
delta_prev_mfcc_13_mean;0.0007614213197968955;0.0003687731762724722;MFCC;delta (anterior)
