umbral;archivo;tipo;iou_mejor
0.5;H001_6345_cross_speaker.wav;cross_speaker;0.0
0.5;H001_6345_cross_speaker_ruido.wav;cross_speaker_ruido;0.772
0.5;H001_6345_same_speaker.wav;same_speaker;0.0
0.5;H002_2035_cross_speaker.wav;cross_speaker;0.1949
0.5;H002_2035_cross_speaker_ruido.wav;cross_speaker_ruido;0.8147
0.5;H002_2035_same_speaker.wav;same_speaker;0.0
0.5;H003_8842_cross_speaker.wav;cross_speaker;0.0
0.5;H003_8842_cross_speaker_ruido.wav;cross_speaker_ruido;0.7953
0.5;H003_8842_same_speaker.wav;same_speaker;0.0
0.5;H004_3170_cross_speaker.wav;cross_speaker;0.0
0.5;H004_3170_cross_speaker_ruido.wav;cross_speaker_ruido;0.426
0.5;H004_3170_same_speaker.wav;same_speaker;0.0
0.5;H005_1919_cross_speaker.wav;cross_speaker;0.0966
0.5;H005_1919_cross_speaker_ruido.wav;cross_speaker_ruido;0.6683
0.5;H005_1919_same_speaker.wav;same_speaker;0.0
0.5;H006_8297_cross_speaker.wav;cross_speaker;0.5988
0.5;H006_8297_cross_speaker_ruido.wav;cross_speaker_ruido;0.668
0.5;H006_8297_same_speaker.wav;same_speaker;0.0
0.5;H007_3000_cross_speaker.wav;cross_speaker;0.0
0.5;H007_3000_cross_speaker_ruido.wav;cross_speaker_ruido;0.3912
0.5;H007_3000_same_speaker.wav;same_speaker;0.0
0.5;H008_1988_cross_speaker.wav;cross_speaker;0.0
0.5;H008_1988_cross_speaker_ruido.wav;cross_speaker_ruido;0.6816
0.5;H008_1988_same_speaker.wav;same_speaker;0.284
0.5;H009_5536_cross_speaker.wav;cross_speaker;0.0
0.5;H009_5536_cross_speaker_ruido.wav;cross_speaker_ruido;0.6947
0.5;H009_5536_same_speaker.wav;same_speaker;0.0507
0.5;H010_6241_cross_speaker.wav;cross_speaker;0.0
0.5;H010_6241_cross_speaker_ruido.wav;cross_speaker_ruido;0.8484
0.5;H010_6241_same_speaker.wav;same_speaker;0.0
0.5;H011_3752_cross_speaker.wav;cross_speaker;0.0
0.5;H011_3752_cross_speaker_ruido.wav;cross_speaker_ruido;0.7352
0.5;H011_3752_same_speaker.wav;same_speaker;0.0
0.5;H012_3576_cross_speaker.wav;cross_speaker;0.0
0.5;H012_3576_cross_speaker_ruido.wav;cross_speaker_ruido;0.7368
