umbral;accuracy;precision;recall;f1;tn;fp;fn;tp;localizacion
0.3;0.6666666666666666;0.6666666666666666;1.0;0.8;0;21;0;42;32/42
0.35;0.6666666666666666;0.6666666666666666;1.0;0.8;0;21;0;42;25/42
0.4;0.6666666666666666;0.6981132075471698;0.8809523809523809;0.7789473684210525;5;16;5;37;11/42
0.45;0.5714285714285714;0.7027027027027027;0.6190476190476191;0.6582278481012659;10;11;16;26;5/42
0.5;0.42857142857142855;0.8;0.19047619047619047;0.3076923076923077;19;2;34;8;1/42
0.55;0.3333333333333333;0.0;0.0;0.0;21;0;42;0;0/42
0.6;0.3333333333333333;0.0;0.0;0.0;21;0;42;0;0/42
0.65;0.3333333333333333;0.0;0.0;0.0;21;0;42;0;0/42
0.7;0.3333333333333333;0.0;0.0;0.0;21;0;42;0;0/42
0.75;0.3333333333333333;0.0;0.0;0.0;21;0;42;0;0/42
