utt;clase;tamper;n_ventanas;algun_tramo_gt;solape_con_sintetico@0.30
LA_D_1275044;0;0.4536;6;;
LA_D_4331249;0;0.4231;7;;
LA_D_8163197;0;0.4319;6;;
LA_D_9678576;0;0.2852;4;;
LA_D_5386683;0;0.3929;7;;
LA_D_4462839;0;0.2889;4;;
LA_D_6289915;0;0.4236;4;;
LA_D_7570554;0;0.412;6;;
LA_D_2842063;0;0.4042;5;;
LA_D_6067380;0;0.5501;13;;
LA_D_4529182;0;0.4492;8;;
LA_D_5178609;0;0.4358;5;;
LA_D_8194315;0;0.3943;5;;
LA_D_7385274;0;0.4727;6;;
LA_D_3448074;0;0.404;7;;
LA_D_2485218;0;0.3422;3;;
LA_D_8681156;0;0.252;4;;
LA_D_6236753;0;0.4071;3;;
LA_D_1541720;0;0.4973;4;;
LA_D_6511989;0;0.3395;4;;
LA_D_1660662;0;0.3147;6;;
LA_D_9580426;0;0.5408;4;;
LA_D_1983415;0;0.4418;9;;
LA_D_9354139;0;0.6364;10;;
LA_D_9812702;0;0.4251;5;;
LA_D_4293112;0;0.3263;3;;
LA_D_5334203;0;0.494;4;;
LA_D_9452854;0;0.385;6;;
LA_D_9065762;0;0.4709;4;;
LA_D_5255611;0;0.408;5;;
LA_D_7339633;0;0.2617;5;;
LA_D_6480551;0;0.3981;7;;
LA_D_8591419;0;0.6617;9;;
LA_D_4777881;0;0.402;3;;
LA_D_7932604;0;0.3742;4;;
LA_D_8430669;0;0.4829;7;;
LA_D_4838520;0;0.3761;2;;
LA_D_6380295;0;0.4351;4;;
LA_D_3987478;0;0.6567;6;;
LA_D_5934426;0;0.464;5;;
LA_D_1896334;0;0.4197;7;;
LA_D_6343761;0;0.4924;5;;
LA_D_9173254;0;0.6678;8;;
LA_D_4514282;0;0.431;9;;
LA_D_2946958;0;0.4565;5;;
LA_D_8187801;0;0.3001;9;;
LA_D_4239074;0;0.4973;4;;
LA_D_7304634;0;0.4824;4;;
LA_D_4973412;0;0.37;7;;
LA_D_5945817;0;0.5315;4;;
LA_D_9134844;0;0.4757;8;;
LA_D_1772237;0;0.484;5;;
LA_D_6843468;0;0.5109;5;;
LA_D_1775562;0;0.3869;2;;
LA_D_1882065;0;0.4343;3;;
LA_D_3655500;0;0.3185;4;;
LA_D_7919190;0;0.4617;5;;
LA_D_4962492;0;0.4166;7;;
LA_D_6288557;0;0.4272;5;;
LA_D_1482998;0;0.4524;6;;
LA_D_2455027;0;0.3872;8;;
LA_D_5203733;0;0.3731;6;;
LA_D_8316995;0;0.4681;6;;
LA_D_4161223;0;0.4319;11;;
LA_D_6368049;0;0.2985;3;;
LA_D_3526885;0;0.3889;9;;
LA_D_3205671;0;0.4381;3;;
LA_D_7546022;0;0.5453;4;;
LA_D_1788083;0;0.6373;10;;
LA_D_4135293;0;0.344;5;;
LA_D_6084606;0;0.6249;7;;
LA_D_5868407;0;0.4774;4;;
LA_D_2005171;0;0.5118;4;;
LA_D_6458498;0;0.4558;5;;
LA_D_6917442;0;0.4959;9;;
LA_D_9818781;0;0.4544;5;;
LA_D_8947861;0;0.4563;7;;
LA_D_7207798;0;0.3775;5;;
LA_D_9953476;0;0.3812;7;;
LA_D_9095164;0;0.4469;3;;
LA_D_3245414;0;0.6911;8;;
LA_D_1859048;0;0.3907;5;;
LA_D_3553954;0;0.3315;4;;
LA_D_6594571;0;0.3296;2;;
LA_D_5000705;0;0.4425;4;;
LA_D_1300558;0;0.4487;2;;
LA_D_1060968;0;0.4795;7;;
LA_D_2733428;0;0.4869;5;;
LA_D_7097849;0;0.2426;3;;
LA_D_1517231;0;0.6201;8;;
LA_D_1121887;0;0.4139;5;;
LA_D_4890059;0;0.3142;5;;
LA_D_4114029;0;0.6804;8;;
LA_D_7982514;0;0.4355;5;;
LA_D_7450739;0;0.4404;6;;
LA_D_2324235;0;0.4952;6;;
LA_D_6310267;0;0.3209;3;;
LA_D_3773719;0;0.4064;8;;
LA_D_8008117;0;0.3625;6;;
LA_D_3668484;0;0.415;5;;
LA_D_2943260;0;0.3219;7;;
LA_D_5870696;0;0.3165;8;;
LA_D_9366582;0;0.4907;6;;
LA_D_3077269;0;0.4671;4;;
LA_D_8729758;0;0.4414;6;;
LA_D_2977892;0;0.4235;5;;
LA_D_6869808;0;0.3501;4;;
LA_D_3053264;0;0.4051;5;;
LA_D_5676897;0;0.4194;6;;
LA_D_6561538;0;0.3978;7;;
LA_D_1232613;0;0.4755;4;;
LA_D_5651240;0;0.4696;6;;
LA_D_3877724;0;0.4427;4;;
LA_D_7160972;0;0.3511;3;;
LA_D_7760578;0;0.4238;3;;
LA_D_8726343;0;0.4481;5;;
LA_D_6730053;0;0.3865;5;;
LA_D_3401409;0;0.4178;5;;
LA_D_3354668;0;0.4189;4;;
LA_D_4005854;0;0.3628;2;;
LA_D_6810732;0;0.4962;10;;
LA_D_4949737;0;0.4379;3;;
LA_D_4580301;0;0.39;4;;
LA_D_6452789;0;0.3332;4;;
LA_D_6994349;0;0.5456;10;;
LA_D_3703286;0;0.3394;6;;
LA_D_1722779;0;0.4321;6;;
LA_D_8302640;0;0.4453;4;;
LA_D_4492847;0;0.4476;4;;
LA_D_6921684;0;0.3634;5;;
LA_D_6549233;0;0.3165;6;;
LA_D_3317945;0;0.4716;4;;
LA_D_9791780;0;0.6524;9;;
LA_D_6680138;0;0.3367;6;;
LA_D_3878203;0;0.3993;5;;
LA_D_8522983;0;0.6271;9;;
LA_D_4540166;0;0.4845;6;;
LA_D_2044088;0;0.3256;3;;
LA_D_9841868;0;0.4936;6;;
LA_D_1562732;0;0.364;5;;
LA_D_4359251;0;0.3289;3;;
LA_D_8147163;0;0.4576;3;;
LA_D_5425829;0;0.3648;5;;
LA_D_8289729;0;0.2814;6;;
LA_D_2774468;0;0.5209;5;;
LA_D_8582039;0;0.4978;6;;
LA_D_9040602;0;0.5908;7;;
LA_D_7030288;0;0.4889;9;;
LA_D_5273164;0;0.2718;3;;
LA_D_5952548;0;0.3698;4;;
LA_D_7525926;0;0.3396;3;;
LA_D_7433591;0;0.4066;6;;
LA_D_2365147;0;0.5044;6;;
LA_D_6876630;0;0.6535;8;;
LA_D_9515167;0;0.3667;4;;
LA_D_4818528;0;0.3854;3;;
LA_D_4026041;0;0.3883;5;;
LA_D_6611532;0;0.2914;4;;
LA_D_2565359;0;0.3998;5;;
LA_D_4160962;0;0.3775;5;;
LA_D_9260902;0;0.4633;5;;
LA_D_5072627;0;0.5294;7;;
LA_D_2659066;0;0.3859;2;;
LA_D_2861752;0;0.4364;7;;
