archivo_generado;manipulado_real;tipo_splicing;inicio_gt_s;fin_gt_s;tamper_score;detectado_archivo;num_intervalos_predichos;acierto_localizacion;intervalos_predichos
A001_Diapo_10_clean.wav;0;none;;;0.4685;1;7;;0.000-1.000 (0.327) | 5.500-10.000 (0.393) | 12.500-13.500 (0.323) | 15.000-18.000 (0.456) | 23.500-24.500 (0.352) | 26.000-27.500 (0.313) | 30.500-31.500 (0.468)
A001_Diapo_10_splice_mismo_audio.wav;1;mismo_audio;9.209;11.168;0.4485;1;6;1;0.000-1.000 (0.327) | 5.500-11.500 (0.387) | 14.500-15.500 (0.316) | 17.000-20.000 (0.432) | 25.000-27.000 (0.407) | 32.500-33.500 (0.449)
A001_Diapo_10_splice_mismo_hablante.wav;1;mismo_hablante;23.108;24.318;0.4559;1;7;0;0.000-1.000 (0.327) | 5.500-10.000 (0.393) | 12.500-13.500 (0.323) | 15.000-18.000 (0.456) | 24.500-25.500 (0.322) | 27.500-29.000 (0.317) | 31.500-33.000 (0.451)
A002_Diapo_7_clean.wav;0;none;;;0.5057;1;14;;0.000-1.500 (0.357) | 6.000-7.500 (0.479) | 10.000-14.500 (0.386) | 21.500-23.000 (0.359) | 25.500-26.500 (0.316) | 28.000-30.500 (0.330) | 36.500-39.500 (0.402) | 42.000-45.500 (0.332) | 47.500-49.000 (0.351) | 56.000-57.000 (0.304) | 59.000-60.500 (0.344) | 63.000-64.000 (0.333) | 69.500-71.500 (0.438) | 74.500-76.000 (0.506)
A002_Diapo_7_splice_mismo_audio.wav;1;mismo_audio;3.354;5.172;0.5435;1;17;1;0.000-1.500 (0.357) | 3.500-4.500 (0.344) | 5.500-6.500 (0.343) | 8.000-9.000 (0.373) | 10.000-11.000 (0.323) | 12.000-13.000 (0.361) | 14.000-16.500 (0.343) | 23.000-25.000 (0.544) | 27.000-28.000 (0.317) | 34.500-35.500 (0.337) | 39.000-40.000 (0.345) | 45.500-48.000 (0.425) | 51.500-53.500 (0.332) | 56.000-57.000 (0.311) | 58.000-59.000 (0.354) | 72.500-73.500 (0.319) | 76.500-77.500 (0.456)
A002_Diapo_7_splice_mismo_hablante.wav;1;mismo_hablante;2.965;4.293;0.5376;1;14;1;0.000-1.500 (0.357) | 4.000-5.000 (0.300) | 7.500-8.500 (0.355) | 11.500-12.500 (0.336) | 13.500-16.000 (0.354) | 22.000-25.000 (0.538) | 34.000-35.000 (0.318) | 38.000-41.500 (0.369) | 45.000-47.500 (0.443) | 51.000-52.000 (0.337) | 53.000-54.000 (0.301) | 56.000-58.500 (0.364) | 72.000-73.000 (0.347) | 75.500-77.000 (0.456)
A003_Diapo_8_v2_clean.wav;0;none;;;0.5036;1;10;;0.500-1.500 (0.320) | 8.000-10.000 (0.412) | 19.000-21.000 (0.421) | 23.000-26.000 (0.451) | 28.000-29.500 (0.372) | 30.500-31.500 (0.504) | 37.000-38.000 (0.316) | 41.500-42.500 (0.363) | 49.000-51.000 (0.315) | 57.000-58.000 (0.381)
A003_Diapo_8_v2_splice_mismo_audio.wav;1;mismo_audio;31.728;33.026;0.6814;1;9;1;0.500-1.500 (0.320) | 8.000-10.000 (0.412) | 19.000-21.000 (0.421) | 23.000-26.000 (0.451) | 28.000-29.500 (0.372) | 30.500-35.000 (0.681) | 51.500-52.500 (0.313) | 55.500-56.500 (0.325) | 58.500-59.500 (0.434)
A003_Diapo_8_v2_splice_mismo_hablante.wav;1;mismo_hablante;50.018;51.692;0.7401;1;11;1;0.500-1.500 (0.320) | 8.000-10.000 (0.412) | 19.000-21.000 (0.421) | 23.000-26.000 (0.451) | 28.000-29.500 (0.372) | 30.500-31.500 (0.504) | 37.000-38.000 (0.316) | 41.500-42.500 (0.363) | 49.000-52.500 (0.740) | 56.000-57.000 (0.332) | 58.500-60.000 (0.457)
A004_Diapo_9_clean.wav;0;none;;;0.5115;1;4;;0.000-2.000 (0.358) | 3.500-6.000 (0.323) | 10.000-12.500 (0.511) | 27.500-29.000 (0.410)
A004_Diapo_9_splice_mismo_audio.wav;1;mismo_audio;12.533;14.671;0.6514;1;6;1;0.000-2.000 (0.358) | 3.500-6.000 (0.323) | 10.000-15.500 (0.651) | 19.000-20.000 (0.316) | 23.000-24.000 (0.345) | 30.000-31.000 (0.395)
A004_Diapo_9_splice_mismo_hablante.wav;1;mismo_hablante;10.185;11.419;0.7531;1;4;1;0.000-2.000 (0.358) | 3.500-6.000 (0.323) | 9.000-14.500 (0.753) | 29.000-30.500 (0.454)
A005_WhatsApp_Audio_2025-11-25_at_13.23.33_clean.wav;0;none;;;0.4676;1;5;;0.500-8.000 (0.428) | 9.000-10.000 (0.335) | 14.500-25.500 (0.468) | 26.500-27.500 (0.339) | 31.000-33.000 (0.412)
A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_audio.wav;1;mismo_audio;27.47;28.609;0.6875;1;5;1;0.500-8.000 (0.428) | 9.000-10.000 (0.335) | 14.500-29.500 (0.688) | 30.500-31.500 (0.382) | 33.000-34.000 (0.452)
A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_hablante.wav;1;mismo_hablante;15.349;16.746;0.7355;1;6;1;0.500-8.000 (0.428) | 9.000-10.000 (0.335) | 14.500-18.500 (0.735) | 20.000-25.500 (0.488) | 27.000-30.000 (0.381) | 33.500-34.500 (0.375)
A006_WhatsApp_Audio_2025-11-27_at_10.32.19_clean.wav;0;none;;;0.5228;1;2;;0.000-15.500 (0.523) | 16.500-26.500 (0.451)
A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_audio.wav;1;mismo_audio;2.958;4.146;0.5045;1;1;1;0.000-28.000 (0.505)
