threshold;archivo_generado;tipo_splicing;manipulado_real;detectado_archivo;tamper_score;num_intervalos_predichos;acierto_localizacion
0.3;A001_Diapo_10_clean.wav;none;0;1;0.4658499999999998;7;
0.3;A001_Diapo_10_splice_mismo_audio.wav;mismo_audio;1;1;0.417097619047619;6;1
0.3;A001_Diapo_10_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4658499999999998;8;0
0.3;A002_Diapo_7_clean.wav;none;0;1;0.41393333333333326;14;
0.3;A002_Diapo_7_splice_mismo_audio.wav;mismo_audio;1;1;0.5235730158730157;14;1
0.3;A002_Diapo_7_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4841063492063491;13;0
0.3;A003_Diapo_8_v2_clean.wav;none;0;1;0.41214523809523806;14;
0.3;A003_Diapo_8_v2_splice_mismo_audio.wav;mismo_audio;1;1;0.43023333333333336;12;1
0.3;A003_Diapo_8_v2_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4072999999999999;13;0
0.3;A004_Diapo_9_clean.wav;none;0;1;0.36520000000000014;5;
0.3;A004_Diapo_9_splice_mismo_audio.wav;mismo_audio;1;1;0.36520000000000014;4;0
0.3;A004_Diapo_9_splice_mismo_hablante.wav;mismo_hablante;1;1;0.39567380952380954;4;1
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_clean.wav;none;0;1;0.4547555555555556;2;
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_audio.wav;mismo_audio;1;1;0.4547555555555556;3;1
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4547555555555556;1;1
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_clean.wav;none;0;1;0.4536285714285713;1;
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_audio.wav;mismo_audio;1;1;0.48000000000000004;2;1
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4536285714285713;2;1
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_clean.wav;none;0;1;0.5087119047619048;2;
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_audio.wav;mismo_audio;1;1;0.5290880952380953;3;1
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5087119047619048;3;1
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_clean.wav;none;0;1;0.4534666666666667;3;
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_audio.wav;mismo_audio;1;1;0.4433000000000001;4;1
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.47709999999999986;3;1
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_clean.wav;none;0;1;0.4642571428571429;13;
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_audio.wav;mismo_audio;1;1;0.5001;11;1
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4642571428571429;11;1
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_clean.wav;none;0;1;0.38409761904761885;7;
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_audio.wav;mismo_audio;1;1;0.43441190476190467;9;1
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4055142857142856;8;1
