threshold;archivo_generado;tipo_splicing;manipulado_real;detectado_archivo;tamper_score;num_intervalos_predichos;acierto_localizacion
0.3;A001_Diapo_10_clean.wav;none;0;1;0.46848095238095244;7;
0.3;A001_Diapo_10_splice_mismo_audio.wav;mismo_audio;1;1;0.4485142857142857;6;1
0.3;A001_Diapo_10_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4559285714285714;7;0
0.3;A002_Diapo_7_clean.wav;none;0;1;0.5056873015873016;14;
0.3;A002_Diapo_7_splice_mismo_audio.wav;mismo_audio;1;1;0.5435142857142856;17;1
0.3;A002_Diapo_7_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5375809523809524;14;1
0.3;A003_Diapo_8_v2_clean.wav;none;0;1;0.5036;10;
0.3;A003_Diapo_8_v2_splice_mismo_audio.wav;mismo_audio;1;1;0.6814166666666669;9;1
0.3;A003_Diapo_8_v2_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7401333333333334;11;1
0.3;A004_Diapo_9_clean.wav;none;0;1;0.511457142857143;4;
0.3;A004_Diapo_9_splice_mismo_audio.wav;mismo_audio;1;1;0.6514333333333334;6;1
0.3;A004_Diapo_9_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7530666666666668;4;1
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_clean.wav;none;0;1;0.4675714285714287;5;
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_audio.wav;mismo_audio;1;1;0.6875285714285715;5;1
0.3;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7354809523809526;6;1
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_clean.wav;none;0;1;0.5228285714285715;2;
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_audio.wav;mismo_audio;1;1;0.5045333333333334;1;1
0.3;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5228285714285715;3;1
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_clean.wav;none;0;1;0.533347619047619;4;
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_audio.wav;mismo_audio;1;1;0.7019309523809527;5;1
0.3;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_hablante.wav;mismo_hablante;1;1;0.6826952380952381;4;1
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_clean.wav;none;0;1;0.44940000000000013;4;
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_audio.wav;mismo_audio;1;1;0.708366666666667;4;1
0.3;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7567833333333334;3;1
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_clean.wav;none;0;1;0.5476333333333332;13;
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_audio.wav;mismo_audio;1;1;0.5476333333333332;13;1
0.3;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5476333333333332;14;1
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_clean.wav;none;0;1;0.36026666666666646;3;
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_audio.wav;mismo_audio;1;1;0.6750476190476191;4;1
0.3;A010_WhatsApp_Audio_2026-05-11_at_12.15.11_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7091476190476189;4;1
0.3;A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_clean.wav;none;0;1;0.4790904761904762;10;
0.3;A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_splice_mismo_audio.wav;mismo_audio;1;1;0.6857333333333331;9;1
0.3;A011_WhatsApp_Audio_2026-05-11_at_12.17.34_1_splice_mismo_hablante.wav;mismo_hablante;1;1;0.6995714285714286;10;1
0.3;A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_clean.wav;none;0;1;0.4763333333333332;7;
0.3;A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_splice_mismo_audio.wav;mismo_audio;1;1;0.6671000000000002;9;1
0.3;A012_WhatsApp_Audio_2026-05-11_at_12.17.34_2_splice_mismo_hablante.wav;mismo_hablante;1;1;0.6770619047619049;7;1
0.3;A013_WhatsApp_Audio_2026-05-11_at_12.17.34_clean.wav;none;0;1;0.5512285714285714;6;
0.3;A013_WhatsApp_Audio_2026-05-11_at_12.17.34_splice_mismo_audio.wav;mismo_audio;1;1;0.7459;6;1
0.3;A013_WhatsApp_Audio_2026-05-11_at_12.17.34_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7513666666666668;6;1
0.3;A014_WhatsApp_Audio_2026-05-11_at_12.21.44_clean.wav;none;0;1;0.5360619047619046;10;
0.3;A014_WhatsApp_Audio_2026-05-11_at_12.21.44_splice_mismo_audio.wav;mismo_audio;1;1;0.731;10;1
0.3;A014_WhatsApp_Audio_2026-05-11_at_12.21.44_splice_mismo_hablante.wav;mismo_hablante;1;1;0.741766666666667;9;1
0.3;A015_WhatsApp_Audio_2026-05-11_at_12.25.03_clean.wav;none;0;1;0.4458380952380952;9;
0.3;A015_WhatsApp_Audio_2026-05-11_at_12.25.03_splice_mismo_audio.wav;mismo_audio;1;1;0.6717714285714286;8;1
0.3;A015_WhatsApp_Audio_2026-05-11_at_12.25.03_splice_mismo_hablante.wav;mismo_hablante;1;1;0.69;9;1
0.3;A016_WhatsApp_Audio_2026-05-11_at_12.30.33_clean.wav;none;0;1;0.4379333333333333;4;
0.3;A016_WhatsApp_Audio_2026-05-11_at_12.30.33_splice_mismo_audio.wav;mismo_audio;1;1;0.42929999999999996;4;1
0.3;A016_WhatsApp_Audio_2026-05-11_at_12.30.33_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4323444444444444;4;1
0.3;A017_WhatsApp_Audio_2026-05-11_at_12.32.17_clean.wav;none;0;1;0.4551119047619047;5;
0.3;A017_WhatsApp_Audio_2026-05-11_at_12.32.17_splice_mismo_audio.wav;mismo_audio;1;1;0.7495333333333333;5;1
0.3;A017_WhatsApp_Audio_2026-05-11_at_12.32.17_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7090857142857144;5;1
0.3;A018_WhatsApp_Audio_2026-05-11_at_12.45.58_clean.wav;none;0;1;0.49141428571428575;7;
0.3;A018_WhatsApp_Audio_2026-05-11_at_12.45.58_splice_mismo_audio.wav;mismo_audio;1;1;0.4246999999999998;7;0
0.3;A018_WhatsApp_Audio_2026-05-11_at_12.45.58_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4246999999999998;9;0
0.3;A019_WhatsApp_Audio_2026-05-11_at_12.48.50_clean.wav;none;0;1;0.41056666666666675;6;
0.3;A019_WhatsApp_Audio_2026-05-11_at_12.48.50_splice_mismo_audio.wav;mismo_audio;1;1;0.7263666666666667;5;1
0.3;A019_WhatsApp_Audio_2026-05-11_at_12.48.50_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7291333333333335;5;1
0.3;A020_WhatsApp_Audio_2026-05-11_at_12.51.30_clean.wav;none;0;1;0.4849706349206347;11;
0.3;A020_WhatsApp_Audio_2026-05-11_at_12.51.30_splice_mismo_audio.wav;mismo_audio;1;1;0.7459928571428575;11;1
0.3;A020_WhatsApp_Audio_2026-05-11_at_12.51.30_splice_mismo_hablante.wav;mismo_hablante;1;1;0.6903333333333334;13;1
0.3;A021_WhatsApp_Audio_2026-05-11_at_13.25.03_clean.wav;none;0;1;0.47781666666666667;7;
0.3;A021_WhatsApp_Audio_2026-05-11_at_13.25.03_splice_mismo_audio.wav;mismo_audio;1;1;0.7243261904761905;7;1
0.3;A021_WhatsApp_Audio_2026-05-11_at_13.25.03_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7324166666666669;7;1
0.35;A001_Diapo_10_clean.wav;none;0;1;0.46848095238095244;5;
0.35;A001_Diapo_10_splice_mismo_audio.wav;mismo_audio;1;1;0.4485142857142857;5;1
0.35;A001_Diapo_10_splice_mismo_hablante.wav;mismo_hablante;1;1;0.4559285714285714;4;0
0.35;A002_Diapo_7_clean.wav;none;0;1;0.5056873015873016;8;
0.35;A002_Diapo_7_splice_mismo_audio.wav;mismo_audio;1;1;0.5435142857142856;7;0
0.35;A002_Diapo_7_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5375809523809524;8;0
0.35;A003_Diapo_8_v2_clean.wav;none;0;1;0.5036;7;
0.35;A003_Diapo_8_v2_splice_mismo_audio.wav;mismo_audio;1;1;0.6814166666666669;6;1
0.35;A003_Diapo_8_v2_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7401333333333334;8;1
0.35;A004_Diapo_9_clean.wav;none;0;1;0.511457142857143;3;
0.35;A004_Diapo_9_splice_mismo_audio.wav;mismo_audio;1;1;0.6514333333333334;3;1
0.35;A004_Diapo_9_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7530666666666668;3;1
0.35;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_clean.wav;none;0;1;0.4675714285714287;4;
0.35;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_audio.wav;mismo_audio;1;1;0.6875285714285715;6;1
0.35;A005_WhatsApp_Audio_2025-11-25_at_13.23.33_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7354809523809526;5;1
0.35;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_clean.wav;none;0;1;0.5228285714285715;5;
0.35;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_audio.wav;mismo_audio;1;1;0.5045333333333334;5;1
0.35;A006_WhatsApp_Audio_2025-11-27_at_10.32.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.5228285714285715;5;1
0.35;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_clean.wav;none;0;1;0.533347619047619;4;
0.35;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_audio.wav;mismo_audio;1;1;0.7019309523809527;4;1
0.35;A007_WhatsApp_Audio_2025-11-30_at_13.49.09_splice_mismo_hablante.wav;mismo_hablante;1;1;0.6826952380952381;4;1
0.35;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_clean.wav;none;0;1;0.44940000000000013;3;
0.35;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_audio.wav;mismo_audio;1;1;0.708366666666667;4;1
0.35;A008_WhatsApp_Audio_2026-02-04_at_14.12.19_splice_mismo_hablante.wav;mismo_hablante;1;1;0.7567833333333334;3;1
0.35;A009_WhatsApp_Audio_2026-05-11_at_12.13.40_clean.wav;none;0;1;0.5476333333333332;10;
